ele,X,Y
225.883,-98.759960125,29.388571486
225.846,-98.759973496,29.388566206
225.831,-98.75997836,29.388564093
225.81,-98.759984442,29.388560924
225.797,-98.759988091,29.38855881
225.782,-98.759992957,29.388556697
225.772,-98.75999782,29.388555641
225.752,-98.760002688,29.38855247
225.733,-98.760006337,29.388549296
225.713,-98.760011196,29.388546121
225.699,-98.760014841,29.388544005
225.679,-98.760018487,29.38854083
225.659,-98.760023346,29.388537655
225.639,-98.760026992,29.388534481
225.624,-98.76003185,29.388532364
225.604,-98.760035496,29.388529189
225.584,-98.760039143,29.388526014
225.566,-98.760041575,29.388522839
225.546,-98.760045222,29.388519664
225.522,-98.760047657,29.388515431
225.502,-98.76005127,29.388512254
225.482,-98.760054835,29.388509076
225.458,-98.760057159,29.388504842
225.432,-98.760060692,29.388500613
225.409,-98.7600618,29.388496389
225.382,-98.760061764,29.388491109
225.353,-98.760062996,29.388485827
225.329,-98.760064226,29.388481601
225.306,-98.760065455,29.388477374
225.283,-98.760066685,29.388473146
225.261,-98.760067915,29.388468918
225.242,-98.760067925,29.38846469
225.218,-98.760067938,29.388459405
225.2,-98.760066729,29.388455177
225.171,-98.760066744,29.388448834
225.151,-98.760066755,29.388444604
225.135,-98.760064325,29.388440378
225.115,-98.760064345,29.388436145
225.097,-98.760063141,29.388431914
225.079,-98.760061938,29.388427683
225.06,-98.760061976,29.388423441
225.042,-98.760060779,29.388419206
225.024,-98.76005958,29.388414971
225.007,-98.760057156,29.388410741
224.991,-98.760054732,29.38840651
224.973,-98.760053532,29.388402274
224.964,-98.76004867,29.388399106
224.947,-98.760046258,29.388394868
224.937,-98.760042623,29.388391692
224.921,-98.760040211,29.388387453
224.903,-98.760039016,29.388383211
224.886,-98.760036604,29.38837897
224.872,-98.760032973,29.388374732
224.861,-98.760029336,29.388371554
224.851,-98.760025699,29.388368376
224.846,-98.760022057,29.388366261
224.838,-98.760017201,29.388363087
224.828,-98.760013561,29.388359911
224.823,-98.760009916,29.388357797
224.819,-98.760005054,29.388355686
224.814,-98.76000141,29.388353572
224.817,-98.759995327,29.388352528
224.814,-98.759990466,29.388350418
224.81,-98.759985606,29.388348308
224.812,-98.759980742,29.38834726
224.813,-98.759975879,29.388346213
224.819,-98.759971013,29.388346227
224.827,-98.759964932,29.388346246
224.836,-98.759961281,29.388347318
224.847,-98.759956415,29.388348394
224.862,-98.759951547,29.388350531
224.873,-98.759946683,29.388351606
224.884,-98.759941827,29.388352672
224.899,-98.759936964,29.388354805
224.915,-98.759932103,29.388356938
224.933,-98.759928449,29.388360139
224.949,-98.75992359,29.38836227
224.959,-98.759918739,29.388363334
224.978,-98.759915089,29.388366532
224.998,-98.75991023,29.388369728
225.016,-98.759906587,29.388372915
225.036,-98.759901734,29.388376103
225.054,-98.759898093,29.388379288
225.072,-98.759894455,29.388382471
225.087,-98.759889607,29.388384598
225.11,-98.759885963,29.388388858
225.125,-98.759881119,29.388390986
225.142,-98.759878695,29.388394168
225.162,-98.759873853,29.388397347
225.176,-98.759869014,29.388399465
225.196,-98.759864175,29.388402642
225.212,-98.759859338,29.388405818
225.223,-98.759855712,29.388408993
225.234,-98.759850878,29.388412167
225.242,-98.759848462,29.388414283
225.253,-98.759842422,29.388417454
225.26,-98.7598388,29.388419568
225.273,-98.759835179,29.388422739
225.285,-98.759830352,29.388425908
225.298,-98.759826733,29.388429073
225.311,-98.759821905,29.388432233
225.32,-98.759819492,29.388434339
225.328,-98.759813456,29.388436444
225.336,-98.759808629,29.38843855
225.35,-98.759803803,29.388441708
225.359,-98.759800183,29.388443813
225.368,-98.759795357,29.388445918
225.378,-98.759791724,29.388448011
225.393,-98.759786869,29.388451147
225.403,-98.759783225,29.388453238
225.418,-98.759778363,29.388456378
225.434,-98.759775934,29.388459531
225.45,-98.759771067,29.388462675
225.466,-98.759766196,29.388465822
225.483,-98.759762543,29.388468975
225.494,-98.759757663,29.388471071
225.511,-98.759754004,29.388474228
225.529,-98.759751567,29.388477389
225.554,-98.759747908,29.388481605
225.572,-98.759744244,29.388484766
225.591,-98.759741803,29.388487931
225.616,-98.75973814,29.388492152
225.634,-98.759735697,29.38849532
225.659,-98.759734483,29.388499545
225.685,-98.759732038,29.38850377
225.71,-98.75972959,29.388507997
225.736,-98.759727141,29.388512226
225.761,-98.759727144,29.388516453
225.792,-98.759727148,29.388521736
225.817,-98.759725925,29.388525965
225.849,-98.75972593,29.388531248
225.874,-98.759724749,29.388535467
225.899,-98.759724786,29.388539682
225.924,-98.759724822,29.388543895
225.948,-98.759726073,29.388548105
225.971,-98.759728539,29.38855231
225.987,-98.759732209,29.388555459
226.009,-98.759735885,29.388559658
226.018,-98.759739543,29.388561753
226.039,-98.759743206,29.388565951
226.054,-98.759746831,29.388569115
226.076,-98.759749251,29.388573331
226.084,-98.759752874,29.388575444
226.105,-98.759756501,29.388579662
226.118,-98.759761333,29.38858283
226.139,-98.759763753,29.388587047
226.145,-98.759768585,29.388589163
226.158,-98.759773419,29.388592332
226.159,-98.759777044,29.388593394
